run,baseline_rank,post_attack_rank,rank_reduction_pct
1,2.3953,2.4520,-2.37
2,2.3953,2.3081,3.64
3,2.3953,2.6926,-12.41
4,2.3953,2.2600,5.65
5,2.3953,2.3256,2.91
6,2.3953,2.4762,-3.38
7,2.3953,2.5789,-7.67
8,2.3953,2.2937,4.24
9,2.3953,2.3265,2.87
10,2.3953,2.7072,-13.02
