run,baseline_rank,post_attack_rank,rank_reduction_pct
1,2.5515,3.2622,-27.85
2,2.5515,2.1278,16.61
3,2.5515,3.0631,-20.05
4,2.5515,3.0697,-20.31
5,2.5515,1.9058,25.31
6,2.5515,3.7258,-46.02
7,2.5515,3.4959,-37.01
8,2.5515,2.6577,-4.16
9,2.5515,1.3761,46.07
10,2.5515,3.0891,-21.07
