run,baseline_rank,post_attack_rank,rank_reduction_pct
1,3.3187,3.3583,-1.19
2,3.3187,3.3509,-0.97
3,3.3187,3.3741,-1.67
4,3.3187,3.3616,-1.29
5,3.3187,3.3893,-2.12
6,3.3187,3.5126,-5.84
7,3.3187,3.3679,-1.48
8,3.3187,3.3176,0.03
9,3.3187,3.6414,-9.72
10,3.3187,3.4993,-5.44
